date,source,source_tx_id,tx_type,asset,amount,fee,fee_asset,counterparty_asset,counterparty_amount,notes
2021-05-23T06:30:54.415950+00:00,ftx,2021-05-23 06:30:54.415950,buy,ETH,0.022,0,,USD,48.4,FTX spot trade
2021-05-23T07:18:45.568422+00:00,ftx,2021-05-23 07:18:45.568422,buy,ETH,0.045,0,,USD,98.1,FTX spot trade
2021-05-23T07:45:08.416105+00:00,ftx,2021-05-23 07:45:08.416105,buy,BTC,0.0027,0,,USD,97.2,FTX spot trade
2021-05-23T07:49:46.840342+00:00,ftx,2021-05-23 07:49:46.840342,buy,ETH,0.093,0,,USD,199.95,FTX spot trade
2021-05-23T07:52:05.323242+00:00,ftx,2021-05-23 07:52:05.323242,buy,BTC,0.0056,0,,USD,199.36,FTX spot trade
2021-05-23T07:52:08.211646+00:00,ftx,2021-05-23 07:52:08.211646,buy,ETH,0.14,0,,USD,298.2,FTX spot trade
2021-05-23T08:15:40.042745+00:00,ftx,2021-05-23 08:15:40.042745,buy,ETH,0.306,0,,USD,639.12,FTX spot trade
2021-05-23T08:15:52.232357+00:00,ftx,2021-05-23 08:15:52.232357,buy,BTC,0.0114,0,,USD,399,FTX spot trade
2021-05-23T08:16:58.417544+00:00,ftx,2021-05-23 08:16:58.417544,buy,BTC,0.0087,0,,USD,300.15,FTX spot trade
2021-05-31T07:02:02.589161+00:00,ftx,3409090,withdrawal,ETH,0.01,0,,,0,FTX withdrawal 3409090
2021-05-31T07:03:25.977117+00:00,ftx,3409111,withdrawal,BTC,0.001,0,,,0,FTX withdrawal 3409111
2021-05-31T07:12:23.333449+00:00,ftx,3409250,withdrawal,ETH,0.5960606,0,,,0,FTX withdrawal 3409250
2021-05-31T07:23:16.982371+00:00,ftx,3409423,withdrawal,BTC,0.02740284,0,,,0,FTX withdrawal 3409423
2021-06-02T21:15:53.785063+00:00,ftx,90981,fiat_deposit,EUR,489.3,0,,,0,FTX fiat_deposit 90981
2021-06-02T21:53:07.914247+00:00,ftx,2021-06-02 21:53:07.914247,fiat_exchange,EUR,489.3,0,,USD,593.84157254,FTX fiat conversion
2021-06-02T21:53:46.960397+00:00,ftx,2021-06-02 21:53:46.960397,buy,CEL,11.9,0.00833,CEL,USD,88.774,FTX spot trade
2021-06-03T06:30:53.481707+00:00,ftx,2021-06-03 06:30:53.481707,buy,CEL,65.3,0.04571,CEL,USD,505.84645,FTX spot trade
2021-06-03T06:45:02.479331+00:00,ftx,3472387,withdrawal,CEL,77.14596,0,,,0,FTX withdrawal 3472387
2021-08-26T07:53:59.249210+00:00,ftx,7277160,deposit,USDT,2577.637285,0,,,0,FTX deposit 7277160
2021-08-26T07:56:16.846552+00:00,ftx,2021-08-26 07:56:16.846552,buy,SOL,38,1.7985135,USDT,USDT,2569.305,FTX spot trade
2021-08-27T06:21:22.176456+00:00,ftx,4858036,withdrawal,SOL,0.1,0,,,0,FTX withdrawal 4858036
2021-08-27T06:25:10.082015+00:00,ftx,4858102,withdrawal,SOL,37.9,0,,,0,FTX withdrawal 4858102
2021-08-27T20:29:42.503152+00:00,ftx,7330883,deposit,SNX,0.8306832,0,,,0,FTX deposit 7330883
2021-08-28T12:53:40.037266+00:00,ftx,7351558,deposit,SNX,385.33132832,0,,,0,FTX deposit 7351558
2021-08-28T12:57:31.710759+00:00,ftx,2021-08-28 12:57:31.710759,sell,SNX,386.1,3.30144969,USD,USD,4716.3567,FTX spot trade
2021-08-28T13:00:40.587613+00:00,ftx,4894040,fiat_withdrawal,USD,2995,0,,,0,FTX withdrawal 4894040
2021-08-28T13:05:01.203610+00:00,ftx,2021-08-28 13:05:01.203610,buy,ETH,0.002,0.0045381,USDT,USDT,6.483,FTX spot trade
2021-08-28T13:25:06.288061+00:00,ftx,2021-08-28 13:25:06.288061,buy,ETH,0.158,0.0000316,ETH,USD,510.34,FTX spot trade
2021-08-28T13:39:10.109017+00:00,ftx,7352836,deposit,CEL,3.3747,0,,,0,FTX deposit 7352836
2021-08-28T13:54:38.565228+00:00,ftx,7353146,deposit,CEL,1978.3747,0,,,0,FTX deposit 7353146
2021-08-28T19:45:55.124635+00:00,ftx,2021-08-28 19:45:55.124635,sell,CEL,446,0.5272716,USD,USD,2636.358,FTX spot trade
2021-08-28T19:57:37.945472+00:00,ftx,2021-08-28 19:57:37.945472,sell,CEL,1535.7,1.8323638,USD,USD,9161.819,FTX spot trade
2021-08-28T20:04:18.955083+00:00,ftx,2021-08-28 20:04:18.955083,buy,ETH,0.507,1.14622053,USD,USD,1637.4579,FTX spot trade
2021-08-28T20:07:32.627522+00:00,ftx,2021-08-28 20:07:32.627522,buy,ETH,0.001,0.00226338,USD,USD,3.2334,FTX spot trade
2021-08-29T03:27:12.084729+00:00,ftx,2021-08-29 03:27:12.084729,buy,ETH,1.55,0.00031,ETH,USD,4886.69,FTX spot trade
2021-08-29T05:27:52.725112+00:00,ftx,2021-08-29 05:27:52.725112,buy,ETH,2.028,4.52909184,USD,USD,6470.1312,FTX spot trade
2021-08-29T05:29:43.396425+00:00,ftx,4912358,withdrawal,ETH,4.2456584,0,,,0,FTX withdrawal 4912358
2021-09-03T10:09:39.369263+00:00,ftx,7662136,deposit,CEL,15.7728,0,,,0,FTX deposit 7662136
2021-09-03T10:14:38.910750+00:00,ftx,7662312,deposit,CEL,1849.8422,0,,,0,FTX deposit 7662312
2021-09-03T11:38:27.920604+00:00,ftx,2021-09-03 11:38:27.920604,sell,CEL,494.2,2.1603812,USD,USD,3086.25885,FTX spot trade
2021-09-03T11:39:51.075834+00:00,ftx,2021-09-03 11:39:51.075834,buy,USDT,3081.99,2.15782448,USD,USD,3082.606398,FTX spot trade
2021-09-03T11:42:30.212997+00:00,ftx,5100536,withdrawal,USDT,1E+1,0,,,0,FTX withdrawal 5100536
2021-09-03T11:47:12.534973+00:00,ftx,5100669,withdrawal,USDT,3072.0362334,0,,,0,FTX withdrawal 5100669
2021-09-03T12:58:21.885329+00:00,ftx,2021-09-03 12:58:21.885329,sell,CEL,186.5,0.23872,USD,USD,1193.6,FTX spot trade
2021-09-03T12:58:35.925385+00:00,ftx,2021-09-03 12:58:35.925385,sell,CEL,682.8,0.885122,USD,USD,4425.61,FTX spot trade
2021-09-03T13:00:59.401270+00:00,ftx,2021-09-03 13:00:59.401270,sell,CEL,502.1,2.26546146,USD,USD,3236.3735,FTX spot trade
2021-09-03T13:01:49.190249+00:00,ftx,2021-09-03 13:01:49.190249,buy,USDT,8843.35,6.19220211,USD,USD,8846.003005,FTX spot trade
2021-09-03T13:02:20.506247+00:00,ftx,5103219,withdrawal,USDT,8843.35,0,,,0,FTX withdrawal 5103219
2021-09-03T16:42:35.420481+00:00,ftx,7680247,deposit,CEL,1.6E+3,0,,,0,FTX deposit 7680247
2021-09-03T16:59:50.434068+00:00,ftx,2021-09-03 16:59:50.434068,sell,CEL,1.6E+3,7.12944936,USD,USD,10184.9276,FTX spot trade
2021-09-03T17:01:05.015295+00:00,ftx,2021-09-03 17:01:05.015295,buy,USDT,7.11,0.00497999,USD,USD,7.114266,FTX spot trade
2021-09-03T17:01:45.429371+00:00,ftx,2021-09-03 17:01:45.429371,buy,USDT,10157.47,7.11449514,USD,USD,10163.564482,FTX spot trade
2021-09-03T17:02:26.896869+00:00,ftx,5112462,withdrawal,USDT,10164.58,0,,,0,FTX withdrawal 5112462
