date,source,source_tx_id,tx_type,asset,amount,fee,fee_asset,counterparty_asset,counterparty_amount,notes
2024-03-26T08:17:07+00:00,kraken,LNJNRF-FPIR2-RMN2WQ,fiat_withdrawal,EUR,4123.36,1,EUR,,0,Kraken withdrawal (fiat)
2024-03-31T21:20:41+00:00,kraken,LVDFZ6-V6W4E-CNWXYT,earn_reward,DOT,0.0036468464,0,,,0,Kraken earn reward (crypto)
2024-04-02T12:05:21+00:00,kraken,LIKGJL-2EF7E-ZG5SAP,deposit,USDC,6000.0006,0,,,0,Kraken deposit (stable_coin)
2024-04-02T12:09:29+00:00,kraken,L2AQMI-67VBF-HGN6XH,sell,USDC,6000.0006,82.49,EUR,EUR,5581.8,Kraken Trade
2024-04-02T12:10:23+00:00,kraken,LVHV4G-7WCRN-J4JLMA,fiat_withdrawal,EUR,5498.31,1,EUR,,0,Kraken withdrawal (fiat)
2024-04-07T21:20:36+00:00,kraken,L3PWOM-CGLEB-VKUFMQ,earn_reward,DOT,0.0036376045,0,,,0,Kraken earn reward (crypto)
2024-04-14T21:20:26+00:00,kraken,L7U4GZ-Y2OPB-C2OVZP,earn_reward,DOT,0.0028442351,0,,,0,Kraken earn reward (crypto)
2024-04-17T19:40:02+00:00,kraken,LUIMDC-7FR6X-MB7TMX,deposit,USDC,6000.0006,0,,,0,Kraken deposit (stable_coin)
2024-04-17T20:10:37+00:00,kraken,L5RQWU-XBVDO-G6OUE7,sell,USDC,6000.0006,83.15,EUR,EUR,5626.8,Kraken Trade
2024-04-17T20:11:16+00:00,kraken,LPEMIL-GFJ7Q-CSZMV4,fiat_withdrawal,EUR,5542.65,1,EUR,,0,Kraken withdrawal (fiat)
2024-04-19T05:17:24+00:00,binance,,airdrop,LUNA,1E-8,0,,,0,Binance Airdrop Assets
2024-04-21T21:20:34+00:00,kraken,LRMMLR-CDT66-U66KF2,earn_reward,DOT,0.0028031232,0,,,0,Kraken earn reward (crypto)
2024-04-28T21:20:39+00:00,kraken,LNHUKQ-DINAH-VSJC2Y,earn_reward,DOT,0.0028990542,0,,,0,Kraken earn reward (crypto)
2024-05-02T12:50:42+00:00,kraken,LPXG6Q-Q2D6A-YC52N2,deposit,USDC,6000.0006,0,,,0,Kraken deposit (stable_coin)
2024-05-02T13:00:42+00:00,kraken,LRKLQM-KOYER-TBJSHQ,sell,USDC,6000.0006,82.85,EUR,EUR,5606.4,Kraken Trade
2024-05-02T13:01:42+00:00,kraken,LPGOWX-EOILD-6SEKD4,fiat_withdrawal,EUR,5522.55,1,EUR,,0,Kraken withdrawal (fiat)
2024-05-05T21:20:34+00:00,kraken,L77NJ4-KE3U5-U3737H,earn_reward,DOT,0.0029210908,0,,,0,Kraken earn reward (crypto)
2024-05-12T21:20:49+00:00,kraken,LVXBCW-HTDPI-ROVJVE,earn_reward,DOT,0.0029209003,0,,,0,Kraken earn reward (crypto)
2024-05-19T21:20:37+00:00,kraken,LOMB2Q-HEFA5-GPSKHM,earn_reward,DOT,0.0028648934,0,,,0,Kraken earn reward (crypto)
2024-05-22T06:24:46+00:00,binance,,airdrop,LUNA,1E-8,0,,,0,Binance Airdrop Assets
2024-05-26T21:20:22+00:00,kraken,LU2H4X-YBZQP-EW7UGJ,earn_reward,DOT,0.0029204204,0,,,0,Kraken earn reward (crypto)
2024-06-02T21:20:33+00:00,kraken,LCHK6Y-HTW3Y-SXL37I,earn_reward,DOT,0.002774755,0,,,0,Kraken earn reward (crypto)
2024-06-04T07:53:27+00:00,kraken,LTBWSW-WYT44-MG5YTO,deposit,USDC,2.5,0,,,0,Kraken deposit (stable_coin)
2024-06-04T08:15:06+00:00,kraken,LGYUT7-KV3CE-LCDGJ2,deposit,USDC,5049.46841,0,,,0,Kraken deposit (stable_coin)
2024-06-04T09:31:35+00:00,kraken,L2ELNI-KJUSW-LHVPCG,sell,USDC,5051.9684,68.61,EUR,EUR,4642.76,Kraken Trade
2024-06-04T09:32:51+00:00,kraken,LR4KZJ-MJLI2-DIVD47,fiat_withdrawal,EUR,599,1,EUR,,0,Kraken withdrawal (fiat)
2024-06-04T09:33:09+00:00,kraken,LP26MD-DHBDI-WAFBWI,fiat_withdrawal,EUR,3973.15,1,EUR,,0,Kraken withdrawal (fiat)
2024-06-09T21:20:41+00:00,kraken,LSQYNJ-AXOLU-ESJHFK,earn_reward,DOT,0.0032558234,0,,,0,Kraken earn reward (crypto)
2024-06-16T21:20:42+00:00,kraken,LHHWZC-5DO32-SH2SA3,earn_reward,DOT,0.0034957224,0,,,0,Kraken earn reward (crypto)
2024-06-18T19:10:00+00:00,kraken,LP3GJQ-BWTYL-54SDEB,deposit,USDC,5,0,,,0,Kraken deposit (stable_coin)
2024-06-18T19:20:50+00:00,kraken,LAIRYG-5EBNB-65OWFL,deposit,USDC,26575.41633,0,,,0,Kraken deposit (stable_coin)
2024-06-18T22:28:48+00:00,kraken,LJSSXD-I544P-BJWIX6,sell,USDC,26580.4163,365.83,EUR,EUR,24754.34,Kraken Trade
2024-06-18T22:29:37+00:00,kraken,L4JEYO-6XFGJ-AVV2O3,fiat_withdrawal,EUR,24387.51,1,EUR,,0,Kraken withdrawal (fiat)
2024-06-19T04:14:34+00:00,binance,,airdrop,LUNA,1E-8,0,,,0,Binance Airdrop Assets
2024-06-23T21:20:41+00:00,kraken,L4ZUCN-VEOB2-SVYKS3,earn_reward,DOT,0.0035494158,0,,,0,Kraken earn reward (crypto)
2024-06-30T21:20:29+00:00,kraken,LJTY6I-HZGMQ-SBSJCY,earn_reward,DOT,0.0036033189,0,,,0,Kraken earn reward (crypto)
2024-07-07T21:20:36+00:00,kraken,LGBA67-X65N3-FKSMZN,earn_reward,DOT,0.0036161405,0,,,0,Kraken earn reward (crypto)
2024-07-09T20:39:37+00:00,kraken,LJQK2T-DQFB4-XGJKMS,deposit,USDC,5,0,,,0,Kraken deposit (stable_coin)
2024-07-09T20:41:52+00:00,kraken,LD7JOM-TYG4O-WVUCU5,deposit,USDC,3993.055447,0,,,0,Kraken deposit (stable_coin)
