"txid","refid","time","type","subtype","aclass","subclass","asset","wallet","amount","fee","balance"
"LP7IP4-CN6O3-ULDXBF","TSTFAGQ-XGZN4-WXEHER","2024-03-06 22:58:38","receive","","currency","fiat","EUR","spot / main",5499.6700,81.2800,5418.3968
"LSVQLH-ODBPD-5XLJZ5","FTTDCqB-W0gXvEey4ucOklyJLEEVKa","2024-03-06 22:59:18","withdrawal","","currency","fiat","EUR","spot / main",-1999.0000,1.0000,3418.3968
"LII7ZU-7YO2O-OQDQLZ","FTK7aAp-N7ARDGZjmQRQ15ofASFhP1","2024-03-06 22:59:36","withdrawal","","currency","fiat","EUR","spot / main",-3417.3900,1.0000,0.0068
"LP56B5-5RCKI-KEM2WF","STHJ77E-HYHEG-C4JDBV","2024-03-07 07:50:28","staking","","currency","staking_on_chain","DOT.S","spot / main",0.0034702600,0.0006940500,1.9169293800
"LZAKTG-Q4ZWA-Y5NM42","ELX3KV7-36ZPR-OPV5ON","2024-03-07 15:15:02","earn","migration","currency","staking_on_chain","DOT.S","spot / main",-1.9169293800,0,0.0000000000
"LKF37A-NBSIT-26G5OV","ELX3KV7-36ZPR-OPV5ON","2024-03-07 15:15:02","earn","migration","currency","crypto","DOT","earn / flexible",1.9169293800,0,1.9169293800
"LZNPFS-L2NDN-PHZER5","ELCEWFE-SGTZJ-3GUKXD","2024-03-10 21:20:43","earn","reward","currency","crypto","DOT","earn / flexible",0.0016546720,0.0003309344,1.9182531176
"LYDCVZ-AO3WQ-IUQCOK","STD2VYE-DB7UF-BVF33E","2024-03-14 05:24:35","staking","","currency","crypto","DOT","spot / main",0.0002382700,0.0000476500,0.0001906200
"LCTYS2-SSQQW-CTQK23","ELLLHR5-YEKWA-VSOVG7","2024-03-17 21:20:50","earn","reward","currency","crypto","DOT","earn / flexible",0.0035770620,0.0007154124,1.9211147672
"LDW4NG-IQBKH-3Q2IVJ","ELNKJYA-WEGOK-YEZALM","2024-03-24 21:20:34","earn","reward","currency","crypto","DOT","earn / flexible",0.0036523487,0.0007304697,1.9240366462
"LGQ2G5-NYKXG-W53LM4","FTV7QAn-no7jcm8kd4RQ3sov7oOWHE","2024-03-25 17:29:01","deposit","","currency","stable_coin","USDC","spot / main",6000.00060000,0,6000.00073500
"LM3JV5-63O75-FAGERP","FTEr19C-e6aogeUiphi11IwAliv9ob","2024-03-26 07:58:31","deposit","","currency","stable_coin","USDC","spot / main",10.00000000,0,6010.00073500
"LRAAGI-P7INV-4BZAI2","FTjG0f5-LI2h4MgoNuaEzpIMy7V8WF","2024-03-26 07:58:31","deposit","","currency","stable_coin","USDC","spot / main",32636.27088500,0,38646.27162000
"LOZNP6-I5PJE-BQXF2L","TSJXRWN-LE6EP-KFXCYX","2024-03-26 08:14:43","spend","","currency","stable_coin","USDC","spot / main",-38646.27160000,0,0.00002000
"LUD3D7-QS46S-3RNLX3","TSJXRWN-LE6EP-KFXCYX","2024-03-26 08:14:43","receive","","currency","fiat","EUR","spot / main",35651.2300,526.8700,35124.3668
"L67JVP-AOW5W-SSUSEM","FTFaEyi-b4qsm1AzddlR2daTUjKyXA","2024-03-26 08:16:42","withdrawal","","currency","fiat","EUR","spot / main",-30999.0000,1.0000,4124.3668
